new_payee,amount,typical_amount,amount_ratio,hour,off_hours,urgency_language_flag,behavioral_anomaly_flag,velocity_last_hour,is_fraud
0,6288.4,5585.39,1.126,11,0,0,0,0,0
1,7832.15,402.59,19.454,19,0,0,0,2,1
1,143.8,1095.21,0.131,15,0,1,1,1,1
0,6451.03,791.16,8.154,17,0,0,0,0,1
0,630.37,521.35,1.209,11,0,0,0,0,0
0,5508.61,1150.53,4.788,19,0,0,0,0,1
0,1654.11,680.1,2.432,1,1,0,0,0,1
1,1876.96,1497.26,1.254,6,0,0,0,1,1
0,1421.37,1516.95,0.937,8,0,0,0,0,0
1,8740.9,846.24,10.329,17,0,1,0,0,1
0,360.88,1060.54,0.34,8,0,0,0,0,0
1,3984.6,1202.59,3.313,7,0,1,1,0,1
1,7568.34,3068.25,2.467,0,1,1,1,0,1
0,4588.2,1295.19,3.542,4,1,1,0,0,0
0,37127.33,3109.54,11.94,15,0,0,0,1,0
0,909.02,2507.98,0.362,13,0,0,0,0,1
0,6276.05,2475.95,2.535,12,0,0,0,1,0
0,1575.11,5161.91,0.305,10,0,0,0,1,0
0,8986.04,540.53,16.624,19,0,0,0,0,0
0,1790.06,966.94,1.851,22,1,0,0,0,0
0,1091.99,7237.05,0.151,12,0,0,0,0,0
0,9876.31,1174.29,8.41,14,0,0,0,0,0
0,954.29,117.49,8.122,23,1,0,0,0,1
0,288.14,1233.15,0.234,15,0,0,0,0,0
0,923.43,1671.45,0.552,12,0,0,0,1,0
1,4043.0,140.41,28.794,7,0,1,0,0,1
0,11044.09,4917.43,2.246,17,0,0,0,0,0
0,2089.06,778.73,2.683,18,0,0,0,0,0
0,10033.21,1989.64,5.043,14,0,0,0,0,0
0,309.32,1207.87,0.256,9,0,0,0,0,0
0,1016.13,464.28,2.189,22,1,0,0,1,0
0,1242.46,564.84,2.2,3,1,0,1,0,1
0,1557.87,638.06,2.442,5,1,0,0,0,0
1,2016.91,3932.79,0.513,7,0,0,1,0,1
1,4439.0,1296.23,3.425,23,1,1,0,0,1
1,1014.09,925.49,1.096,6,0,1,0,0,1
0,2166.22,638.33,3.394,11,0,0,0,1,0
0,1705.03,4343.93,0.393,17,0,0,0,2,0
0,542.58,5529.1,0.098,17,0,0,0,2,0
0,1559.68,4299.57,0.363,18,0,0,0,0,0
0,1500.03,2305.82,0.651,3,1,0,0,2,0
0,1458.84,1921.47,0.759,0,1,0,0,0,0
0,1884.25,495.54,3.802,4,1,0,0,0,1
1,1994.95,1186.5,1.681,6,0,1,1,0,1
0,1030.72,799.93,1.289,10,0,0,0,0,0
0,9457.18,286.3,33.032,20,0,0,0,0,0
0,395.31,3832.75,0.103,22,1,0,0,0,0
0,708.21,791.36,0.895,20,0,1,0,0,1
0,67100.9,4343.12,15.45,10,0,0,0,0,0
0,469.0,3273.36,0.143,9,0,0,0,1,0
1,311.1,2443.16,0.127,23,1,0,0,0,0
1,4697.66,2569.83,1.828,6,0,1,0,0,1
1,121.48,850.83,0.143,15,0,1,0,1,1
1,1331.61,7879.86,0.169,0,1,0,1,0,1
0,29424.19,1538.88,19.121,0,1,0,0,1,1
1,242.64,1942.51,0.125,11,0,0,0,0,0
0,137.48,825.37,0.167,15,0,0,0,0,0
0,257.51,640.31,0.402,4,1,0,0,1,1
0,5813.09,2274.62,2.556,13,0,0,1,0,0
0,7802.58,1800.4,4.334,17,0,0,0,0,0
0,928.56,727.48,1.276,8,0,1,0,0,1
0,4394.79,405.62,10.835,1,1,0,0,2,0
1,11018.51,472.04,23.342,11,0,0,0,0,1
0,18463.49,4343.87,4.25,9,0,0,0,0,0
0,1312.6,852.41,1.54,1,1,0,0,1,0
0,90.75,1091.14,0.083,14,0,0,0,1,0
0,621.95,5460.56,0.114,3,1,0,0,0,0
1,1038.11,539.19,1.925,18,0,1,0,0,1
0,1291.27,769.47,1.678,21,0,0,0,1,0
1,1416.27,741.08,1.911,3,1,0,1,0,1
1,7743.14,6350.33,1.219,8,0,0,0,0,1
0,9478.27,8902.12,1.065,12,0,0,0,2,0
0,1446.39,2911.45,0.497,9,0,0,0,0,0
1,7540.4,2996.04,2.517,13,0,0,0,0,0
1,2878.31,878.03,3.278,2,1,1,0,0,1
1,1966.2,8540.68,0.23,2,1,1,1,0,1
1,5875.27,1883.57,3.119,19,0,0,0,0,0
0,1986.1,3190.07,0.623,15,0,0,0,0,0
0,26243.0,1346.18,19.494,8,0,0,0,0,0
0,278.68,1163.01,0.24,13,0,0,0,0,0
1,925.45,6612.64,0.14,21,0,0,1,1,0
0,1533.83,2406.07,0.637,15,0,0,0,0,1
0,3201.22,5465.65,0.586,8,0,0,0,0,0
0,9398.91,1862.72,5.046,23,1,0,0,0,0
0,1751.59,689.85,2.539,22,1,1,0,0,1
0,284.6,875.67,0.325,4,1,0,0,0,0
1,5406.02,1624.03,3.329,12,0,0,0,0,1
0,4824.42,842.31,5.728,14,0,0,1,0,1
1,144.83,546.36,0.265,3,1,0,0,0,0
0,1799.12,4364.57,0.412,13,0,0,0,0,0
0,228.79,906.52,0.252,19,0,1,0,0,0
1,762.01,1676.35,0.455,23,1,0,1,0,0
1,559.11,1932.4,0.289,19,0,1,0,0,1
0,5177.33,871.89,5.938,6,0,1,0,1,1
1,2104.6,5462.82,0.385,3,1,1,0,0,1
0,339.93,541.62,0.628,16,0,0,0,1,0
0,5676.48,1873.31,3.03,8,0,0,1,0,0
0,280.35,1847.35,0.152,3,1,0,0,1,0
0,2777.06,1409.75,1.97,2,1,0,0,0,0
0,627.53,460.71,1.362,18,0,0,0,2,0
0,1123.97,3241.32,0.347,8,0,0,0,0,0
0,3482.66,2890.43,1.205,7,0,0,0,1,0
0,3561.31,805.92,4.419,6,0,0,0,1,0
0,10281.07,2798.22,3.674,6,0,0,0,0,0
1,1624.69,2074.38,0.783,3,1,0,0,0,0
0,2692.93,467.52,5.76,18,0,1,0,0,1
0,1023.46,686.4,1.491,11,0,0,0,0,0
1,2290.64,4123.48,0.556,19,0,0,1,0,1
0,3201.36,1955.64,1.637,5,1,0,1,1,1
